Public,Earn,SAT,ACT,Price,Price_with_aid,need_fraction,merit_aided
1,43900,1170,26,21800,12400,0.63,0.09
0,43100,1110,25,53000,29800,0.84,0.16
0,51100,1170,25,62600,35800,0.49,0.41
0,45700,1060,24,50300,29600,0.37,0.28
0,48900,1110,24,59300,37400,0.56,0.35
1,42000,1050,23,22000,14100,0.46,0.01
1,48000,1090,24,22100,17700,0.39,0.3
1,44200,1170,25,23700,16500,0.35,0.06
0,45600,1060,23,45000,27600,0.79,0.13
0,40700,970,20,47500,20700,0.91,0.04
0,50200,1010,21,49200,34600,0.69,0.08
1,48300,1000,22,25200,10200,0.67,0.01
1,48800,1140,24,20600,15600,0.39,0.09
0,42900,1270,26,62700,37200,0.64,0.25
0,42300,1080,25,55500,27000,0.75,0.21
1,45800,1010,22,24600,14100,0.35,0.05
1,44900,1150,22,23800,16900,0.42,0.1
0,40200,980,24,41800,21800,0.73,0.25
0,48900,1300,29,65800,35800,0.45,0.23
0,49500,1000,22,45400,26400,0.79,0.17
1,45900,1070,23,20200,11100,0.48,0.01
0,50400,1190,27,61200,44400,0.55,0.25
0,48600,1160,26,52800,32400,0.6,0.18
0,45300,1030,23,42700,23000,0.73,0.22
1,39100,1030,22,22900,15200,0.54,0.13
0,51700,1190,24,53300,32100,0.71,0.22
0,46600,1070,23,46500,27600,0.64,0.27
0,44500,860,18,42600,25400,0.73,0.12
0,42100,1280,27,55800,30300,0.68,0.19
1,48600,1070,24,28600,19300,0.67,0.07
0,51700,1130,27,53400,35900,0.51,0.35
0,43300,1060,24,48500,24500,0.81,0.16
0,47400,940,24,46300,24100,0.62,0.06
0,45900,1160,27,58600,33800,0.58,0.31
0,41000,1340,30,64400,35200,0.52,0.2
1,43900,1090,24,27900,13300,0.51,0.2
0,45300,1180,26,51200,24100,0.84,0.15
0,43500,1320,30,60600,36800,0.46,0.29
0,36100,920,19,29600,13300,0.66,0.1
1,35700,1200,26,20700,13100,0.53,0.06
1,37600,1030,23,23000,14800,0.6,0.05
0,66700,1300,30,61100,41900,0.55,0.35
0,40400,1080,25,45000,25900,0.81,0.19
0,46600,1370,31,66300,38200,0.43,0.16
1,39300,1060,23,24400,17900,0.44,0.03
1,40500,1080,22,29600,16600,0.41,0.08
1,40000,1100,24,25900,9900,0.62,0.12
0,39600,1180,26,56200,30300,0.74,0.24
1,45200,1160,24,21500,8900,0.68,0.04
1,42700,1180,26,21700,16100,0.48,0.04
0,38600,1210,25,47600,29200,0.82,0.18
0,43300,1200,27,59400,33400,0.61,0.34
0,47300,910,21,38600,19600,0.76,0.15
1,42900,1010,21,21100,12300,0.56,0.08
1,44500,1050,23,26000,16800,0.27,0.15
1,40700,1180,24,22300,15700,0.47,0.01
1,46200,1120,25,26400,16200,0.27,0.19
0,38100,1010,22,38100,20500,0.45,0.23
1,39600,1010,21,25500,17300,0.4,0.04
0,49500,1100,25,59700,38800,0.59,0.26
0,48100,1210,28,59800,36700,0.41,0.4
0,45400,1110,25,45000,25900,0.58,0.3
1,42100,1070,21,26300,18300,0.6,0.03
0,37100,1160,27,47600,25200,0.67,0.33
1,44100,1170,26,24600,18400,0.39,0.19
0,39400,1090,25,51000,22400,0.76,0.18
1,47400,1150,22,19800,14500,0.33,0.02
1,42800,1150,23,21700,18300,0.41,0.12
